scene,source_id,target_id,method,initial_rmse_m,rre_deg,rte_m,rmse_m,mean_nn_distance_m,mean_euclidean_distance_m,mean_abs_point_to_plane_error_m,iterations,runtime_s
7-scenes-redkitchen,31,0,point_to_point,0.05376403120317267,25.006184970059262,1.0842186222003853,0.9864648438195103,0.12675047789516686,0.1267066612058302,nan,25,0.1308691000158433
7-scenes-redkitchen,32,0,point_to_plane,0.2252363351224855,2.1719457810937284,0.047416177422810825,0.03313807742971904,0.4059187698756266,0.4059187698756266,0.015996876277817873,50,0.32893289998173714
7-scenes-redkitchen,32,0,point_to_point,0.2252363351224855,12.134805447688226,1.1247236832011938,1.288012186024674,0.13960884957331973,0.13954541975339468,nan,44,0.26794689998496324
7-scenes-redkitchen,37,0,point_to_plane,0.1834367814315993,2.2652866443111956,0.08722552881961966,0.08614446551553699,0.5447340002911738,0.5447340002911738,0.022938844374462915,22,0.23660779997589998
7-scenes-redkitchen,37,0,point_to_point,0.1834367814315993,45.8622768477983,1.4957588701003577,1.6958854488793111,0.23482706046097482,0.23490370397746074,nan,50,0.5251108999946155
7-scenes-redkitchen,38,0,point_to_plane,0.24103956918090105,2.524038526385666,0.10451867384641812,0.09969749966562139,0.3281866138322327,0.3281866138322327,0.020825835560807145,22,0.2024628999934066
7-scenes-redkitchen,38,0,point_to_point,0.24103956918090105,29.023218738716377,1.1224461487485236,1.0227939258250096,0.17087776929062187,0.17076544305832214,nan,50,0.3900941999745555
7-scenes-redkitchen,39,0,point_to_plane,0.2911946984126687,2.531571426421643,0.09569750149245813,0.09946459418041115,0.34811876413508525,0.34811876413508525,0.020854080478517525,50,0.4694383999740239
7-scenes-redkitchen,39,0,point_to_point,0.2911946984126687,20.440910499633294,0.9234100483917276,1.1731766854750294,0.17936206783569292,0.17919510714149509,nan,50,0.4688220999960322
7-scenes-redkitchen,41,0,point_to_plane,0.3482828741969801,4.830929734798303,0.13060330948099372,0.10838872276769249,0.4323921024451437,0.4323921024451437,0.02615387696392211,17,0.19114949999493547
7-scenes-redkitchen,41,0,point_to_point,0.3482828741969801,63.913065522786155,0.45098554288931175,1.223466322357892,0.17814243628947232,0.1781213276387129,nan,31,0.29795380000723526
7-scenes-redkitchen,2,1,point_to_plane,0.20832783021912393,2.944297174592287,0.05581753840758325,0.05460797907858089,0.08510742577223006,0.08510742577223006,0.02430788285696011,13,0.08876149999559857
7-scenes-redkitchen,2,1,point_to_point,0.20832783021912393,6.63013493712342,0.07826976307646381,0.15745044947209347,0.0963523407415375,0.09634741473073397,nan,32,0.2156762000231538
7-scenes-redkitchen,3,1,point_to_plane,0.05858288755191717,2.7818341518735736,0.053531212910389966,0.059141233548197565,0.14227325375004607,0.14227325375004607,0.022772327792206174,50,0.328874500002712
7-scenes-redkitchen,3,1,point_to_point,0.05858288755191717,12.324817920818825,0.18133263084666307,0.3185145441505537,0.1433005105072369,0.1433038110757908,nan,50,0.3783385000133421
